2016-04-28 22:31:16,726 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\main\resources
2016-04-28 22:31:16,726 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:31:16,726 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\test\resources
2016-04-28 22:31:16,726 [Worker-4] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of jersySpingRestApi
2016-04-28 22:31:16,742 [Worker-4] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for jersySpingRestApi
2016-04-28 22:31:16,742 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:31:40,295 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersyRestApi:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersyRestApiEmbeddedJetty\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:31:40,405 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jersyRestApi/src/main/java
2016-04-28 22:31:40,405 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jersyRestApi/src/test/java
2016-04-28 22:31:40,780 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 0 sec
2016-04-28 22:31:41,170 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersyRestApi:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersyRestApiEmbeddedJetty\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:31:41,360 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:31:41,377 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApiEmbeddedJetty\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\main\resources
2016-04-28 22:31:41,383 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:31:41,399 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApiEmbeddedJetty\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\test\resources
2016-04-28 22:31:41,911 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersyRestApi:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersyRestApiEmbeddedJetty\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:31:42,460 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:31:42,491 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApiEmbeddedJetty\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\main\resources
2016-04-28 22:31:42,491 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:31:42,491 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApiEmbeddedJetty\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\test\resources
2016-04-28 22:33:11,326 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersyRestApi:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersyRestApiEmbeddedJetty\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:33:11,358 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:33:11,373 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApiEmbeddedJetty\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\main\resources
2016-04-28 22:33:11,373 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:33:11,373 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApiEmbeddedJetty\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\test\resources
2016-04-28 22:33:11,847 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersyRestApi:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersyRestApiEmbeddedJetty\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:33:12,441 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:33:12,441 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApiEmbeddedJetty\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\main\resources
2016-04-28 22:33:12,441 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:33:12,457 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApiEmbeddedJetty\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\test\resources
2016-04-28 22:33:37,216 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersySpingRestApiEmbededJetty:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersyRestApiEmbeddedJetty\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:33:37,294 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:33:37,294 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApiEmbeddedJetty\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\main\resources
